# mail/lojban-list thread c80327b68ed2-no_subject | root 199308170406.aa00645@eli.cs.yale.edu | 1 messages | rendered by jbomohi mail-v1

=== 1 | 1993-08-17T04:03:09Z | Logical Language Group <lojbab@GREBYN.COM> | 199308170406.aa00645@eli.cs.yale.edu | mail/lojban-list/cur/745560189.c80327b68ed2c200.jbomohi:2,S
snacau  sound+without
snadymi'o       succeed+famous
snaga'e sound+sense
snage'a sound+grammar
snagenske       sound+grammar+science
snajalra        sound+cockroach
snakamju        sound+column
snanystici      south+west
snanystuna      south+east
snavei  sound+record
snavelminra     sound+4th-place-of+reflect
snavelmiryri'a  sound+4th-place-of+reflect+cause
snaze'a sound+increase
snexu'i dream+chemical
snima'o sign+structure-word
sniti'i sign+suggest
snoraisli       slow+superlative+oscillate
snosli  slow+oscillate
snoslijgita     slow+oscillate+guitar
snulalske       discuss+analyze+science
snununpe'i      discuss+event-of+meet
snusna  discuss+sound
so'etsi soya+seed
so'ipra many-(of)+produce
so'ipre many-(of)+person
so'irnanca      many-(of)+year
so'irprema'e    many-(of)+person+vehicle
so'irprudarxi   many-(of)+past+hit
so'irterplo     many-(of)+3rd-place-of+fold
so'irzu'edzukla many-(of)+act+walk+come
soidji  soldier+desire
solboi  solar+ball
solgu'i solar+illumine
solroi  solar+time
solseldi'e      solar+2nd-place-of+radiate
solxrula        solar+flower
sonralju        soldier+principal
sorkoitai       many-(of)+edge+shape
sorprekarce     many-(of)+person+car
sosma'o several-(of)+structure-word
sosyselcmipi'i  several-(of)+2nd-place-of+member+multiply
sosyselcmisumji several-(of)+2nd-place-of+member+sum
sosyzda several-(of)+nest
sotprekarce     a-few-(of)+person+car
sovrango        egg+organ
sovyseltai      egg+2nd-place-of+shape
sovytai egg+shape
spabi'u plant+wall
spacange        plant+farm
spacau  plant+without
spakrabau       plant+source+language
spakragu'e      plant+source+country
spatadni        plant+study
spebi'o married+become
specfari'i      married+initiate+rite
spegau  married+do
speme'i married+sister
spesimxu        married+mutual
spezau  married+approve
spicku  piece+book
spixra  piece+picture
spofriti        destroy+offer
spusku  reply+express
sraki'e support+cushion
srakysku        scratch+express
sropanka        store+park
srotanxe        store+box
stacyrai        honest+superlative
stagau  remain+do
stagypurdi      vegetable+garden
sticymla        west+side
stiri'a cease+cause
stufa'i site+discover
stula'i site+adjacent
stunyxazdo      east+Asiatic
stunyxazdypre   east+Asiatic+person
sucri'a abstract+cause
sudgau  dry+do
sudgaubukpu     dry+do+cloth
sudyfoi dry+field
sudysrasu       dry+grass
sudytumla       dry+land
sukli'a sudden+leave
sukybajrykla    sudden+run+come
sulkai  wool+quality
sulmai  wool+material
sulpo'e wool+possess
sumnyjirna      smell+horn
sumtcita        argument+label
sunko'o east+Scottish
surlybi'o       relax+become
surlydzu        relax+walk
sutctidja       fast+eat+food
sutfau  fast+event
sutfle  fast+flow
sutkemjupsabdja fast+type-of+cook+provide+food
sutrai  fast+superlative
sutraisli       fast+superlative+oscillate
sutrybai        fast+force
sutryfinti      fast+invent
sutrygau        fast+do
sutryjvi        fast+compete
sutrykla        fast+come
sutrymau        fast+more
sutryterjvi     fast+3rd-place-of+compete
sutryzbadja     fast+make+food
sutsabdja       fast+provide+food
sutspu  fast+reply
sutyjupydja     fast+cook+food
ta'ajmi talk+understand
ta'atci talk+tool
ta'axlu talk+influence
ta'erca'a       box+apparatus
ta'irgau        tired+do
ta'ordarxi      board+hit
ta'orstizu      board+chair
ta'uzba garment+make
tacpinxe        tongue+drink
tacto'acfa      tongue+tone+initiate
tactrixe        tongue+behind
tactunta        tongue+poke
tacycrane       tongue+front
tacydizlo       tongue+low
tacygaltu       tongue+high
tacymidju       tongue+middle
tadgri  study+group
tadju'i study+attentive
tadnunpe'i      study+event-of+meet
tadnypre        study+person
tadycku study+book
tadysmadyfi'a   study+guess+fiction
tafkoi  garment+edge
taflumpu'o      garment+wash+powder
tafygunma       garment+jointly
tagmau  snug+more
tagysna snug+sound
tairglefri      shape+copulate+experience
taktapla        ceramic+tile
takybli ceramic+block
talyli'u        challenge+travel
tamdu'i shape+equal
tamju'o shape+know
tamsmi  shape+similar
tankypli        tobacco+use
tankyxu'i       tobacco+chemical
tanryzba        phrase-compound+make
tapkla  step+come
taplytai        tile+shape
tatyji'o        breast+tip
tatyta'u        breast+garment
taurselpli      phrase-compound+2nd-place-of+use
taursu'a        phrase-compound+structure
tavba'u talk+utter
tavma'o talk+structure-word
taxmi'i box+machine
tcakarni        city+journal
tcatru  city+govern
tcatytei        tea+time
tcavro  city+door
tcavru  city+noise
tcaxa'u city+dwell
tceci'i much+interesting
tcecla  much+long
tcecli  much+learn
tcecne  much+vary
tcefri  much+experience
tcegei  much+happy
tcesau  much+old
tceselpluka     much+2nd-place-of+pleasant
tceselspaji     much+2nd-place-of+surprise
tceselxai       much+2nd-place-of+injure
tcesnosli       much+slow+oscillate
tcesutsli       much+fast+oscillate
tceta'i much+tired
tceterpa        much+fear
tcevaxyvruto'a  much+breathe+noise+tone
tcexai  much+injure
tcikyzga        time-of-day+observe
tciterjai       tool+3rd-place-of+grasp
tcityta'o       label+board
tcokumte        South-American+camel
tcukavbu        need+capture
tebykre lip+hair
tecmau  specific+more
tedboi  earth+ball
tedyplini       earth+planet
teicla  time+long
teirmo'a        time+pattern
teistu  time+site
tembavdei       time+future+full-day
tembavnanca     time+future+year
tembavytei      time+future+time
temcimni        time+infinite
temge'a time+grammar
tenkratei       stretch+source+time
tepcau  fear+without
teprai  fear+superlative
tepri'a fear+cause
tepringau       fear+reason+do
tepygau fear+do
tercakyjme      3rd-place-of+shell+gem
tergu'imi'i     3rd-place-of+illumine+machine
terkemselgeimau 3rd-place-of+type-of+2nd-place-of+happy+more
terlumpu'o      3rd-place-of+wash+powder
terpe'ufoi      3rd-place-of+touch+field
tersa'e 3rd-place-of+stroke
tersa'ecpu      3rd-place-of+stroke+pull
tersliroldu'i   3rd-place-of+oscillate+every+equal
terstacymau     3rd-place-of+honest+more
terto'asko      3rd-place-of+tone+cord
tervlimau       3rd-place-of+powerful+more
