list,thread_key,root_message_id,messages,path
jboske,c0eafaf28a20-%2Eua,pine.neb.4.33.0108271635450.21447-100000@reva.sixgirls.org,4,mail/jboske/threads/2001/c0eafaf28a20-%2Eua.txt
jboske,24ad6565eda8-this_is_only_a_test,200109241614.f8ogeco27306@skunk.reutershealth.com,9,mail/jboske/threads/2001/24ad6565eda8-this_is_only_a_test.txt
jboske,"0dfee473438d-sets,_masses,_%26c%2E",sc83d123.013@gwise-gw1.uclan.ac.uk,2,"mail/jboske/threads/2002/0dfee473438d-sets,_masses,_%26c%2E.txt"
jboske,fa01459fb195-lo'edu'u,6710d870-084c-11d7-9fc7-003065d4ec72@optushome.com.au,98,mail/jboske/threads/2002/fa01459fb195-lo'edu'u.txt
jboske,"2a489b7e393d-quantifiers,_existential_import,_and_all_that_s",135.a3fb49a.29b17b7e@aol.com,14,"mail/jboske/threads/2002/2a489b7e393d-quantifiers,_existential_import,_and_all_that_s.txt"
jboske,3d677a0ea939-le_munje_sidbo_pe_zo_mu'ei,20021209045622.ga37427@allusion.net,2,mail/jboske/threads/2002/3d677a0ea939-le_munje_sidbo_pe_zo_mu'ei.txt
jboske,6161bedab16a-baseline_policy_voting_-_semiofficial_results,5.2.0.9.0.20021209143037.03b6d570@pop.east.cox.net,1,mail/jboske/threads/2002/6161bedab16a-baseline_policy_voting_-_semiofficial_results.txt
jboske,c1bb2d753a42-kau,f161rin0eqcgrlr11xs0000e124@hotmail.com,80,mail/jboske/threads/2002/c1bb2d753a42-kau.txt
jboske,3ebf00f01d04-an_essay_on_gadri,lpbbjkmninkhacndiigmaemphbaa.a.rosta@lycos.co.uk,1,mail/jboske/threads/2002/3ebf00f01d04-an_essay_on_gadri.txt
jboske,3fa0288c0a2c-more_lo'e,f63vgmiubpafzg4fl8i000163fa@hotmail.com,4,mail/jboske/threads/2002/3fa0288c0a2c-more_lo'e.txt
jboske,37d8a2d7bc61-nu_%26_imaginariness_%28was%3A_re%3A_unresolved,1039706098032055@lycos-europe.com,1,mail/jboske/threads/2002/37d8a2d7bc61-nu_%26_imaginariness_%28was%3A_re%3A_unresolved.txt
jboske,aa10606858df-useful_info_post,a9r5og+lq8@egroups.com,1,mail/jboske/threads/2002/aa10606858df-useful_info_post.txt
jboske,"edce5bd36212-so,_singulatives%2E%2E%2E",p05200f0dba1f77b8de63@[128.250.86.174],11,"mail/jboske/threads/2002/edce5bd36212-so,_singulatives%2E%2E%2E.txt"
jboske,"cf3c58bbb557-poi'i,_se%2Fte%2Fve_ka_%28was_re%3A_%5Bjboske%5",sdf9e489.003@gwise-gw1.uclan.ac.uk,44,"mail/jboske/threads/2002/cf3c58bbb557-poi'i,_se%2Fte%2Fve_ka_%28was_re%3A_%5Bjboske%5.txt"
jboske,8fff16fb081f-subject%3A_compute_virus_-_but_easy_to_kill,171.d8b50dc.2a1110c9@aol.com,1,mail/jboske/threads/2002/8fff16fb081f-subject%3A_compute_virus_-_but_easy_to_kill.txt
jboske,"fc483f5008b1-makau,_dakau",f142ozndjb0lxa56iyg0000326a@hotmail.com,6,"mail/jboske/threads/2002/fc483f5008b1-makau,_dakau.txt"
jboske,0a65492ffbe4-hoax-alert%21_re%3A_subject%3A_compute_virus_-_,19f.22d555a.2a116272@aol.com,1,mail/jboske/threads/2002/0a65492ffbe4-hoax-alert%21_re%3A_subject%3A_compute_virus_-_.txt
jboske,"4f7be376d2f7-kau,_take_2",e7fa3a60-0f1e-11d7-8aa3-003065d4ec72@optushome.com.au,11,"mail/jboske/threads/2002/4f7be376d2f7-kau,_take_2.txt"
jboske,a0d5968fd8dd-mccawley_on_existential_import,lpbbjkmninkhacndiigmmepmgjaa.a.rosta@lycos.co.uk,12,mail/jboske/threads/2002/a0d5968fd8dd-mccawley_on_existential_import.txt
