title,state,source_id,version,time,user,display_name,is_html,encoding,current,path
''Gismu'' Agentive And Non-Agentive,current,tiki=''Gismu''_Agentive_And_Non-Agentive@1,1,2001-11-30T12:31:04Z,admin,admin,false,cp1252,false,tiki/''Gismu''_Agentive_And_Non-Agentive.tiki
''Gismu'' Agentive And Non-Agentive,current,tiki=''Gismu''_Agentive_And_Non-Agentive@2,2,2012-04-10T16:14:01Z,gleki,gleki,false,utf-8,false,tiki/''Gismu''_Agentive_And_Non-Agentive.tiki
''Gismu'' Agentive And Non-Agentive,current,tiki=''Gismu''_Agentive_And_Non-Agentive@3,3,2012-07-19T14:16:49Z,gleki,gleki,false,utf-8,false,tiki/''Gismu''_Agentive_And_Non-Agentive.tiki
''Gismu'' Agentive And Non-Agentive,current,tiki=''Gismu''_Agentive_And_Non-Agentive@current,3,2012-07-19T14:16:49Z,gleki,gleki,false,utf-8,true,tiki/''Gismu''_Agentive_And_Non-Agentive.tiki
"''ca'ai'', ''ka'ei'' and ''nu'oi', and ''nau'a''",current,"tiki=''ca'ai'',_''ka'ei''_and_''nu'oi',_and_''nau'a''@1",1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,false,"tiki/''ca'ai'',_''ka'ei''_and_''nu'oi',_and_''nau'a''.tiki"
"''ca'ai'', ''ka'ei'' and ''nu'oi', and ''nau'a''",current,"tiki=''ca'ai'',_''ka'ei''_and_''nu'oi',_and_''nau'a''@current",1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,true,"tiki/''ca'ai'',_''ka'ei''_and_''nu'oi',_and_''nau'a''.tiki"
"''ka'' versus ''du'u'', and ''ce'u'' and ''zo'e''",current,"tiki=''ka''_versus_''du'u'',_and_''ce'u''_and_''zo'e''@1",1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,false,"tiki/''ka''_versus_''du'u'',_and_''ce'u''_and_''zo'e''.tiki"
"''ka'' versus ''du'u'', and ''ce'u'' and ''zo'e''",current,"tiki=''ka''_versus_''du'u'',_and_''ce'u''_and_''zo'e''@current",1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,true,"tiki/''ka''_versus_''du'u'',_and_''ce'u''_and_''zo'e''.tiki"
''nau'' as sumtcita,current,tiki=''nau''_as_sumtcita@1,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,false,tiki/''nau''_as_sumtcita.tiki
''nau'' as sumtcita,current,tiki=''nau''_as_sumtcita@current,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,true,tiki/''nau''_as_sumtcita.tiki
''pe'' necessary for ''sumti'' plus (BAI-type modifier) Gotcha,current,tiki=''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha@2,2,2001-11-30T12:31:04Z,admin,admin,false,utf-8,false,tiki/''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha.tiki
''pe'' necessary for ''sumti'' plus (BAI-type modifier) Gotcha,current,tiki=''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha@3,3,2003-09-22T19:52:02Z,admin,admin,false,utf-8,false,tiki/''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha.tiki
''pe'' necessary for ''sumti'' plus (BAI-type modifier) Gotcha,current,tiki=''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha@current,3,2003-09-22T19:52:23Z,admin,admin,false,utf-8,true,tiki/''pe''_necessary_for_''sumti''_plus_%28BAI-type_modifier%29_Gotcha.tiki
'Sixteen Rules' issue,current,tiki='Sixteen_Rules'_issue@1,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,false,tiki/'Sixteen_Rules'_issue.tiki
'Sixteen Rules' issue,current,tiki='Sixteen_Rules'_issue@current,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,true,tiki/'Sixteen_Rules'_issue.tiki
'Tweeners,current,tiki='Tweeners@1,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,false,tiki/'Tweeners.tiki
'Tweeners,current,tiki='Tweeners@current,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,true,tiki/'Tweeners.tiki
--And,current,tiki=%2D-And@1,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,false,tiki/%2D-And.tiki
--And,current,tiki=%2D-And@current,1,2001-11-30T12:31:04Z,admin,admin,false,utf-8,true,tiki/%2D-And.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@1,1,2010-09-13T01:29:12Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@2,2,2010-09-13T15:20:04Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@3,3,2010-09-14T13:06:16Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@4,4,2010-09-14T13:12:52Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@5,5,2010-09-15T19:49:23Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@6,6,2010-09-15T21:01:45Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@7,7,2010-09-20T14:41:04Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@8,8,2010-09-22T17:06:07Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@9,9,2010-09-23T14:54:04Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@10,10,2010-09-25T05:26:05Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@11,11,2010-10-03T00:55:16Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@12,12,2010-10-03T00:57:50Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@13,13,2010-10-04T20:48:14Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@14,14,2010-10-05T02:57:45Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@15,15,2010-10-05T17:17:51Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@16,16,2010-10-05T17:33:26Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@17,17,2010-10-07T16:22:58Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@18,18,2010-10-07T18:00:21Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@19,19,2010-10-07T18:04:01Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@20,20,2010-10-09T15:59:48Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@21,21,2010-10-11T01:54:26Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@22,22,2010-10-11T02:26:30Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@23,23,2010-10-11T18:15:30Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@24,24,2010-10-11T18:17:55Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@25,25,2010-10-12T13:53:10Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@26,26,2010-10-16T02:40:04Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@27,27,2011-01-27T15:44:00Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@28,28,2011-01-27T21:40:36Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@29,29,2011-02-01T23:57:14Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@30,30,2011-07-03T23:00:26Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@31,31,2011-07-03T23:04:10Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@32,32,2011-07-03T23:07:27Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@33,33,2011-08-04T15:04:48Z,alyn.post,.alyn.post.,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@34,34,2014-06-08T22:04:58Z,mukti,mukti,false,utf-8,false,tiki/%2Ealyn%2Epost%2E.tiki
.alyn.post.,current,tiki=%2Ealyn%2Epost%2E@current,34,2014-06-08T22:04:58Z,mukti,mukti,false,utf-8,true,tiki/%2Ealyn%2Epost%2E.tiki
.aulun.,current,tiki=%2Eaulun%2E@1,1,2002-11-14T16:16:25Z,AdamRaizen,AdamRaizen,false,utf-8,false,tiki/%2Eaulun%2E.tiki
.aulun.,current,tiki=%2Eaulun%2E@current,1,2002-11-14T16:16:25Z,AdamRaizen,AdamRaizen,false,utf-8,true,tiki/%2Eaulun%2E.tiki
.djorden.,current,tiki=%2Edjorden%2E@1,1,2002-11-14T02:15:03Z,JordanDeLong,JordanDeLong,false,utf-8,false,tiki/%2Edjorden%2E.tiki
.djorden.,current,tiki=%2Edjorden%2E@current,1,2002-11-14T02:15:03Z,JordanDeLong,JordanDeLong,false,utf-8,true,tiki/%2Edjorden%2E.tiki
.i tavla fi la lojban ri,current,tiki=%2Ei_tavla_fi_la_lojban_ri@1,1,2005-06-17T05:59:44Z,selylacbes,selylacbes,false,utf-8,false,tiki/%2Ei_tavla_fi_la_lojban_ri.tiki
.i tavla fi la lojban ri,current,tiki=%2Ei_tavla_fi_la_lojban_ri@2,2,2005-06-17T06:04:49Z,selylacbes,selylacbes,false,utf-8,false,tiki/%2Ei_tavla_fi_la_lojban_ri.tiki
.i tavla fi la lojban ri,current,tiki=%2Ei_tavla_fi_la_lojban_ri@3,3,2005-06-17T06:09:59Z,selylacbes,selylacbes,false,utf-8,false,tiki/%2Ei_tavla_fi_la_lojban_ri.tiki
.i tavla fi la lojban ri,current,tiki=%2Ei_tavla_fi_la_lojban_ri@4,4,2005-06-17T06:12:36Z,selylacbes,selylacbes,false,utf-8,false,tiki/%2Ei_tavla_fi_la_lojban_ri.tiki
.i tavla fi la lojban ri,current,tiki=%2Ei_tavla_fi_la_lojban_ri@5,5,2005-06-17T06:46:15Z,selylacbes,selylacbes,false,utf-8,false,tiki/%2Ei_tavla_fi_la_lojban_ri.tiki
.i tavla fi la lojban ri,current,tiki=%2Ei_tavla_fi_la_lojban_ri@current,5,2005-06-17T06:46:15Z,selylacbes,selylacbes,false,utf-8,true,tiki/%2Ei_tavla_fi_la_lojban_ri.tiki
.iens.,current,tiki=%2Eiens%2E@1,1,2003-04-01T20:28:00Z,aolung,aolung,false,cp1252,false,tiki/%2Eiens%2E.tiki
.iens.,current,tiki=%2Eiens%2E@current,1,2003-04-01T20:28:00Z,aolung,aolung,false,utf-8,true,tiki/%2Eiens%2E.tiki
.iusris.,current,tiki=%2Eiusris%2E@2,2,2002-11-14T16:16:34Z,AdamRaizen,AdamRaizen,false,utf-8,false,tiki/%2Eiusris%2E.tiki
.iusris.,current,tiki=%2Eiusris%2E@current,2,2003-09-22T22:14:27Z,AdamRaizen,AdamRaizen,false,utf-8,true,tiki/%2Eiusris%2E.tiki
1997 Baseline Announcement,current,tiki=1997_Baseline_Announcement@1,1,2014-07-13T03:45:41Z,mukti,mukti,false,utf-8,false,tiki/1997_Baseline_Announcement.tiki
1997 Baseline Announcement,current,tiki=1997_Baseline_Announcement@2,2,2014-07-13T04:09:44Z,mukti,mukti,false,utf-8,false,tiki/1997_Baseline_Announcement.tiki
1997 Baseline Announcement,current,tiki=1997_Baseline_Announcement@current,2,2014-07-13T04:09:44Z,mukti,mukti,false,utf-8,true,tiki/1997_Baseline_Announcement.tiki
2002 version of ''loika zvati'',current,tiki=2002_version_of_''loika_zvati''@1,1,2002-12-02T18:06:42Z,MichaelHelsem,MichaelHelsem,false,utf-8,false,tiki/2002_version_of_''loika_zvati''.tiki
