list,thread_key,root_message_id,messages,path
jbovlaste,8b36be57d5e1-test_mail_%231,20110921220516.gb22598@digitalkingdom.org,1,mail/jbovlaste/threads/2011/8b36be57d5e1-test_mail_%231.txt
jbovlaste,085c744f4ebc-jbovlaste_mailing_list%2E,20041119062259.gp8608@chain.digitalkingdom.org,2,mail/jbovlaste/threads/2004/085c744f4ebc-jbovlaste_mailing_list%2E.txt
jbovlaste,9ba9333c3abe-help_request%3B_new_wiki_page%2E,20041227100613.gp17159@chain.digitalkingdom.org,1,mail/jbovlaste/threads/2004/9ba9333c3abe-help_request%3B_new_wiki_page%2E.txt
jbovlaste,a9dbda94727b-to_injure,20050109100728.gf4597@chain.digitalkingdom.org,6,mail/jbovlaste/threads/2005/a9dbda94727b-to_injure.txt
jbovlaste,659eaba29c29-no_keywords_in_lojban-to-lojban,20050112224235.gn22838@chain.digitalkingdom.org,1,mail/jbovlaste/threads/2005/659eaba29c29-no_keywords_in_lojban-to-lojban.txt
jbovlaste,2998fb2c9faa-etymologies,200501121756.32326.phma@phma.hn.org,3,mail/jbovlaste/threads/2005/2998fb2c9faa-etymologies.txt
jbovlaste,"992afc15228f-french_and_russian_speakers_needed,_please%2E",ct06l9+4k0r@egroups.com,3,"mail/jbovlaste/threads/2005/992afc15228f-french_and_russian_speakers_needed,_please%2E.txt"
jbovlaste,7375e16cc7c4-natlang_words_for_gismu_places%3A_potential_for,pine.lnx.4.60.0502271331470.5304@hagbart.nvg.ntnu.no,1,mail/jbovlaste/threads/2005/7375e16cc7c4-natlang_words_for_gismu_places%3A_potential_for.txt
jbovlaste,a04c3761d839-dictionary_examples%2E,4228bff2.9000300@gulik.co.nz,4,mail/jbovlaste/threads/2005/a04c3761d839-dictionary_examples%2E.txt
jbovlaste,fe88f12a2e90-tei_export%3F,4228c300.80709@gulik.co.nz,4,mail/jbovlaste/threads/2005/fe88f12a2e90-tei_export%3F.txt
jbovlaste,480644be263a-no_subject,20041120172051.gp28493@chain.digitalkingdom.org,3,mail/jbovlaste/threads/2004/480644be263a-no_subject.txt
jbovlaste,f62a25900b6f-buckwheat,200503162138.17076.phma@phma.hn.org,5,mail/jbovlaste/threads/2005/f62a25900b6f-buckwheat.txt
jbovlaste,2fa1bb797c5f-place_keywords_%28was%3A_re%3A_%5Blojban-beginn,a48849b31c98424cbb31a5e6c7d091e69becfd@wobsem03.de.gedas-grp,1,mail/jbovlaste/threads/2005/2fa1bb797c5f-place_keywords_%28was%3A_re%3A_%5Blojban-beginn.txt
jbovlaste,71cb0307cf38-no_subject,20051229054704.gq5289@chain.digitalkingdom.org,5,mail/jbovlaste/threads/2005/71cb0307cf38-no_subject.txt
jbovlaste,4af0e53fc532-adding_gloss_words_to_gismu,95e55c9a-c8e5-4f64-abcb-f910daedb3f2@attglobal.net,1,mail/jbovlaste/threads/2006/4af0e53fc532-adding_gloss_words_to_gismu.txt
jbovlaste,d359bd21f80a-atom_feed_for_jbovlaste_recent_changes,6ffd4ae9-21d0-446b-8e88-559bc76877e8@attglobal.net,2,mail/jbovlaste/threads/2006/d359bd21f80a-atom_feed_for_jbovlaste_recent_changes.txt
